transaction_amount,transaction_type,account_age_days,previous_failed_transactions,transaction_hour,location_risk_score,device_risk_score,is_international,average_daily_transaction_amount,fraud
1856.41,withdrawal,852,0,19,32.76,79.64,1,419.17,0
342.28,payment,955,0,17,30.42,29.7,0,324.26,0
835.78,payment,962,1,12,25.74,34.68,1,306.58,0
339.85,payment,1476,0,10,36.28,15.24,0,262.64,0
765.69,payment,669,0,15,10.95,37.19,1,466.46,0
496.15,deposit,1160,1,21,15.5,35.83,0,358.6,0
205.57,transfer,747,2,12,12.29,57.2,0,120.99,0
119.74,purchase,1691,0,16,27.01,52.48,0,155.99,0
1110.78,withdrawal,1870,0,13,51.59,34.53,0,329.31,0
125.59,payment,1029,0,15,39.94,72.83,0,142.56,0
554.5,payment,1122,0,16,48.4,68.72,0,268.43,0
969.41,purchase,861,1,1,73.56,64.73,0,372.1,1
1795.94,payment,358,0,2,14.65,49.54,0,309.78,0
659.74,purchase,966,0,0,48.1,6.91,1,131.39,0
421.66,payment,924,0,18,17.82,61.61,0,160.38,0
200.02,withdrawal,808,0,21,21.51,62.38,0,314.21,0
569.31,purchase,853,0,8,24.74,41.71,0,572.12,0
618.73,payment,1167,1,1,40.97,56.95,0,242.74,0
1328.92,payment,1123,0,0,40.96,17.44,0,377.91,0
663.06,deposit,864,1,10,48.37,17.59,0,311.02,0
117.87,payment,1762,1,15,37.68,63.72,0,185.48,0
888.38,transfer,328,0,7,25.04,15.2,0,379.87,0
136.24,transfer,685,0,14,23.02,26.98,0,105.09,0
780.63,payment,1388,2,3,44.79,22.57,0,367.41,0
265.05,purchase,389,0,17,21.14,73.54,0,319.67,0
1164.86,purchase,325,0,7,47.58,20.37,0,194.1,0
1292.18,transfer,681,0,23,44.89,42.66,0,149.03,1
319.17,purchase,930,0,18,65.98,86.72,0,202.48,0
166.39,payment,760,1,11,18.34,28.88,0,178.62,0
859.33,payment,1047,0,22,13.72,36.73,0,224.48,0
819.74,withdrawal,340,1,23,44.55,40.18,0,212.62,0
609.22,deposit,647,1,4,16.87,26.11,0,194.05,0
238.14,payment,1288,1,13,18.45,56.02,1,102.75,0
405.26,payment,1163,0,15,55.91,30.65,1,138.31,0
1487.57,transfer,709,0,8,39.75,75.88,0,406.94,1
287.65,purchase,1013,1,23,3.93,38.62,0,196.8,0
159.79,payment,921,0,16,20.67,20.31,0,226.53,0
530.27,transfer,934,0,18,28.88,37.65,0,207.15,0
2299.61,purchase,1087,0,4,53.3,10.32,0,471.3,0
220.68,transfer,1923,2,21,39.06,67.03,0,176.54,0
1656.39,payment,1942,0,23,50.03,26.96,0,170.36,0
248.72,payment,394,1,21,21.49,34.54,0,322.89,0
771.59,transfer,841,0,10,27.83,54.23,0,278.04,1
6227.58,transfer,521,0,22,17.65,39.35,0,326.97,1
354.48,purchase,1130,2,0,42.58,41.91,0,317.68,0
943.15,withdrawal,864,4,4,62.38,51.62,0,384.3,0
476.56,withdrawal,1503,0,15,38.47,17.3,0,129.57,0
889.67,deposit,953,2,18,13.79,86.05,0,309.02,0
286.74,transfer,1797,1,2,40.62,48.64,0,170.91,0
296.93,transfer,1978,0,7,27.74,20.51,1,86.47,0
664.34,deposit,1766,0,2,76.34,28.53,1,316.69,0
676.01,payment,278,0,2,33.88,69.87,0,308.43,0
2032.95,purchase,1081,0,0,63.78,59.91,1,252.79,1
836.62,purchase,805,1,23,20.77,19.0,0,387.33,0
176.33,payment,865,1,21,47.6,22.81,1,171.59,0
1631.54,transfer,1389,1,14,40.27,22.03,0,340.03,0
384.71,payment,832,1,0,22.23,42.86,0,236.09,0
472.84,payment,981,1,17,34.42,22.45,0,244.58,0
60.17,transfer,1007,0,12,30.41,48.3,0,93.52,0
309.65,payment,328,0,18,36.72,22.12,0,389.11,0
366.39,purchase,772,0,11,35.21,21.68,1,303.04,0
3793.2,purchase,1552,1,0,29.01,43.79,0,334.18,1
152.28,purchase,300,1,21,18.07,43.7,0,160.09,0
872.18,payment,1227,0,21,53.17,28.14,1,287.25,0
499.05,payment,614,1,21,13.94,40.37,0,235.85,0
699.01,payment,796,1,15,77.71,17.03,0,310.23,0
1809.42,payment,1338,1,22,40.75,19.87,1,281.27,0
860.09,deposit,542,0,1,62.88,41.61,0,512.35,0
1540.76,transfer,830,1,9,38.02,52.15,0,441.01,0
374.36,payment,395,1,7,49.33,31.78,0,223.4,0
1111.78,purchase,1150,0,11,34.52,40.88,0,316.53,0
352.03,transfer,650,0,0,33.35,78.09,0,214.73,0
1381.01,payment,450,3,19,16.16,54.01,1,382.7,0
425.59,payment,953,2,7,59.04,27.33,0,240.47,0
2197.98,withdrawal,385,0,2,30.89,17.35,0,200.96,0
5589.77,purchase,785,1,4,28.08,42.67,1,285.44,1
1788.73,payment,621,1,2,74.32,60.57,0,425.75,1
1043.19,purchase,1051,0,16,58.92,25.8,1,395.93,1
582.66,purchase,1062,1,22,13.72,57.79,0,206.45,0
5576.2,purchase,676,3,2,27.46,55.3,1,492.08,1
1709.13,payment,1777,0,0,50.59,79.69,1,164.8,0
268.33,payment,1516,0,21,9.75,19.05,1,189.53,0
804.53,purchase,577,1,9,52.3,19.83,0,375.51,0
232.75,payment,2470,0,2,24.93,41.83,0,86.81,0
593.83,withdrawal,1309,0,4,67.55,69.71,0,257.85,0
374.43,purchase,1105,1,16,39.66,36.52,0,222.95,0
2362.09,payment,1139,0,2,42.79,34.43,0,504.98,0
291.1,purchase,500,0,9,39.88,25.11,0,150.35,0
258.79,deposit,1630,1,23,18.17,61.39,0,158.63,0
593.53,purchase,329,0,10,13.28,25.11,0,536.1,0
1019.52,transfer,1136,0,3,55.41,54.31,1,224.16,1
671.4,purchase,1525,1,18,21.42,66.69,0,418.35,0
517.45,transfer,601,0,10,32.48,49.37,0,207.57,0
109.84,purchase,1352,0,9,15.58,31.91,0,185.86,0
650.55,purchase,996,0,6,34.53,64.32,1,427.61,0
1284.63,purchase,1392,2,18,45.64,61.35,0,594.4,0
1297.38,payment,1493,0,11,33.32,32.59,0,442.24,0
156.93,payment,1852,0,11,12.58,11.44,0,201.35,0
605.11,payment,1664,1,18,18.51,39.97,1,252.71,0
159.77,transfer,355,1,8,34.16,32.07,0,162.13,0
673.34,transfer,584,1,15,32.84,46.57,0,175.56,0
1839.26,withdrawal,1192,0,4,42.25,37.64,0,171.29,0
259.03,transfer,1503,0,13,23.67,51.69,0,209.91,0
162.09,purchase,544,0,10,28.0,23.7,0,271.28,0
299.54,purchase,1297,0,12,27.25,24.59,0,257.43,0
619.8,payment,1719,0,8,54.35,38.82,0,351.55,0
410.85,purchase,1476,1,3,29.86,33.45,0,277.73,0
807.35,withdrawal,1287,0,22,67.64,44.54,0,336.7,0
1406.37,transfer,922,0,9,28.36,33.89,0,360.47,0
116.17,payment,900,0,17,8.39,58.24,0,203.04,0
117.31,purchase,2281,1,21,4.9,12.94,0,238.21,0
1014.93,deposit,115,2,10,70.79,49.44,0,864.41,1
907.54,purchase,739,0,19,82.96,47.15,0,195.19,1
341.78,purchase,584,0,10,6.72,48.04,0,345.27,0
128.08,deposit,449,0,1,26.7,33.6,0,134.12,0
2338.4,transfer,1251,0,21,41.16,43.02,1,365.09,1
632.85,withdrawal,1171,1,20,22.47,58.5,0,180.19,0
1259.79,transfer,962,0,13,49.54,22.27,0,261.66,0
350.66,deposit,1171,1,19,77.82,48.87,1,122.85,0
1033.35,payment,1391,0,16,63.88,30.05,1,249.73,0
879.08,transfer,859,0,19,50.9,48.32,0,252.09,0
767.48,purchase,1210,0,1,26.07,53.21,0,234.1,0
1170.12,payment,821,0,19,9.09,43.89,0,311.58,0
1492.07,purchase,1229,0,5,34.37,37.62,0,411.4,0
683.7,transfer,1724,0,23,58.24,32.4,0,158.27,0
739.36,deposit,1456,1,23,26.2,26.14,0,236.76,0
431.15,purchase,2004,1,1,39.13,68.23,0,127.36,0
450.14,payment,741,0,15,18.73,75.71,0,98.09,0
1827.99,purchase,659,0,9,45.71,12.86,1,276.11,0
197.07,transfer,1159,0,6,37.57,22.31,0,152.31,0
4030.01,withdrawal,753,0,23,56.41,47.87,1,256.32,1
945.5,withdrawal,1254,0,9,10.64,24.7,1,281.15,0
202.99,purchase,1051,1,13,58.99,49.85,0,107.27,0
1605.15,payment,589,0,7,22.94,51.47,1,300.48,0
483.07,payment,1183,0,16,45.9,11.7,0,402.56,0
320.88,purchase,609,0,6,13.45,84.05,0,331.18,0
227.41,withdrawal,1782,0,8,46.97,43.71,0,160.13,0
586.45,transfer,868,0,16,9.93,18.2,1,248.9,0
253.1,payment,656,0,5,41.18,27.41,0,261.69,0
423.32,transfer,1066,0,18,35.97,21.46,0,238.84,0
939.06,purchase,1121,2,23,25.58,22.74,1,130.75,0
385.31,payment,729,0,16,6.22,45.53,0,172.62,0
410.14,transfer,712,1,8,57.82,43.58,0,229.12,0
1063.65,deposit,382,0,4,29.53,27.77,1,279.36,0
671.36,payment,1420,1,13,37.18,42.18,1,194.59,0
147.24,purchase,1758,0,10,39.24,42.49,0,64.23,0
627.97,payment,1522,0,5,58.65,41.5,0,92.19,0
505.86,purchase,646,0,8,37.5,26.53,1,200.29,0
7357.6,purchase,1169,0,23,27.13,28.39,1,512.0,1
1190.06,purchase,1074,0,4,27.49,37.17,0,301.4,0
345.13,payment,438,1,6,59.8,20.32,0,275.75,0
618.96,transfer,726,0,8,17.16,21.68,0,171.35,0
288.96,purchase,1130,0,21,26.15,10.74,0,204.66,0
205.78,payment,300,1,8,25.83,66.94,0,88.52,0
320.24,payment,540,0,7,25.18,35.33,0,165.75,0
338.65,payment,1343,1,7,22.84,62.4,0,294.59,0
456.73,deposit,635,0,22,29.8,14.04,0,276.68,0
876.94,purchase,441,0,8,8.21,31.05,1,185.91,0
367.58,withdrawal,1485,2,8,46.18,49.23,0,238.74,0
119.33,purchase,635,1,8,22.7,50.64,0,257.51,0
296.0,transfer,1348,0,20,30.11,44.74,0,190.67,0
1229.5,transfer,1982,0,17,11.37,28.45,0,309.23,0
2943.06,transfer,532,0,14,14.72,30.77,1,274.39,0
3475.76,withdrawal,883,0,5,35.43,64.46,1,208.19,1
286.16,payment,1079,1,2,15.92,41.26,0,135.2,0
491.85,purchase,1473,0,2,66.56,71.11,0,201.16,0
360.0,purchase,725,0,7,55.09,37.36,0,194.85,0
565.51,transfer,209,0,18,35.93,26.41,0,185.71,0
70.13,withdrawal,532,1,18,47.97,41.58,0,109.64,0
383.72,payment,797,0,18,16.61,41.06,0,450.45,0
427.17,deposit,1346,1,16,15.55,6.89,0,440.58,0
430.07,purchase,887,0,12,10.15,24.89,1,234.81,0
170.03,deposit,1305,0,8,8.7,20.96,0,278.76,0
841.77,transfer,783,1,17,28.0,27.9,0,306.82,0
429.81,payment,1031,1,4,25.6,19.28,0,236.52,0
901.85,payment,1394,3,1,29.62,63.86,1,287.69,0
809.15,payment,1566,2,19,27.53,38.27,0,326.3,0
573.21,payment,2189,3,11,10.2,29.39,1,269.8,0
637.7,payment,1097,0,14,41.25,38.82,0,351.87,0
172.17,deposit,338,2,22,21.98,27.11,0,182.75,0
223.58,payment,1188,0,16,15.91,70.5,0,248.79,0
368.82,payment,325,1,18,21.78,22.23,0,724.62,0
612.53,purchase,1255,2,11,39.6,7.87,0,388.23,0
460.39,withdrawal,1013,1,7,59.14,22.87,0,272.57,0
401.92,purchase,1527,0,8,34.76,21.7,0,158.46,0
295.73,withdrawal,780,0,21,38.0,3.75,0,254.59,0
608.68,purchase,1037,1,9,7.72,66.85,1,376.68,0
671.39,withdrawal,1197,0,22,62.99,58.9,0,342.48,0
1027.22,transfer,237,1,0,58.29,60.25,1,96.28,1
581.99,purchase,1171,1,7,41.68,43.61,0,111.77,0
415.33,transfer,249,0,22,19.18,12.98,0,114.43,0
905.77,transfer,657,0,13,15.43,34.74,0,309.01,0
190.12,transfer,1115,0,8,26.67,36.68,0,115.23,0
392.76,payment,290,0,4,29.26,41.05,0,155.1,1
180.08,purchase,1282,2,11,24.09,64.78,0,232.61,0
1138.43,payment,1232,0,22,38.95,24.35,0,404.48,0
558.08,payment,1496,0,8,4.38,58.02,1,315.61,0
202.96,payment,382,2,11,26.16,60.22,0,219.87,0
799.99,purchase,2159,0,8,11.04,16.87,0,356.33,0
2092.39,transfer,482,0,20,29.56,38.16,0,578.86,0
810.06,withdrawal,1033,0,16,12.4,29.3,0,255.63,0
595.07,purchase,804,0,14,69.62,43.54,1,131.26,0
152.36,payment,898,0,16,1.4,75.62,0,157.76,0
258.45,purchase,2011,1,9,42.23,22.53,0,157.04,0
544.94,payment,520,2,19,38.12,41.51,1,174.42,0
173.32,payment,1864,0,14,26.23,13.46,0,212.75,0
5032.06,withdrawal,1368,0,1,34.29,32.24,1,283.05,1
186.17,purchase,947,1,8,47.84,54.16,0,121.28,0
226.7,payment,943,2,20,40.45,48.51,0,132.77,0
1452.53,withdrawal,1235,0,6,6.35,59.76,1,325.01,0
1559.3,payment,776,0,22,24.1,31.61,1,195.28,0
262.42,withdrawal,851,0,19,54.05,17.82,0,165.15,0
2086.3,withdrawal,1030,0,23,38.65,40.22,0,224.0,0
1787.21,withdrawal,1765,1,19,18.58,55.49,0,435.73,0
340.61,withdrawal,892,0,3,53.88,19.81,0,344.98,0
971.03,payment,357,1,4,41.32,49.25,0,334.45,0
1559.44,withdrawal,1051,0,11,6.69,40.52,0,503.18,0
700.93,withdrawal,918,0,8,31.92,48.28,0,289.12,0
1092.25,withdrawal,687,1,22,16.17,38.8,0,523.93,0
619.58,payment,1130,0,20,59.02,2.63,0,542.89,0
692.03,transfer,699,1,18,52.97,40.9,0,123.23,0
578.16,transfer,881,0,22,19.11,41.79,1,106.25,0
536.85,payment,1033,0,1,23.68,65.54,0,152.01,0
630.67,payment,1082,1,16,25.91,71.83,0,416.39,0
568.17,transfer,1173,1,20,24.28,62.01,1,226.11,0
394.55,purchase,1251,2,23,5.92,32.36,0,213.23,0
775.01,payment,1022,1,20,32.65,49.91,0,360.63,0
426.8,purchase,404,3,19,48.83,51.33,0,190.63,0
764.96,transfer,1100,2,18,30.34,51.93,0,272.43,0
4717.06,purchase,1477,1,3,69.15,52.64,1,324.94,1
344.05,transfer,351,2,9,48.83,31.32,0,158.81,0
1995.22,transfer,407,0,21,50.32,41.15,1,141.35,1
651.05,withdrawal,642,1,15,31.27,22.18,0,254.97,0
239.82,deposit,1434,0,6,61.82,40.82,0,269.9,0
1129.92,transfer,623,0,17,35.59,60.49,0,348.18,1
1519.02,transfer,1444,0,0,24.4,56.89,0,150.14,1
338.74,withdrawal,1069,0,9,18.57,32.78,0,177.0,0
345.37,purchase,715,0,18,3.36,3.62,0,540.44,0
224.18,payment,3008,3,18,45.57,50.34,0,384.31,0
794.08,transfer,486,1,12,47.61,34.22,0,235.91,0
637.83,transfer,968,2,6,54.29,86.68,0,411.86,1
121.1,deposit,585,2,11,36.31,81.04,0,150.42,0
747.4,transfer,1125,2,4,36.89,17.18,0,223.42,0
235.58,transfer,599,0,22,38.45,55.05,1,45.9,0
530.3,deposit,766,2,20,39.64,56.49,1,268.86,0
489.16,transfer,658,0,17,13.54,50.25,0,211.72,0
456.67,payment,839,0,8,25.99,15.51,1,215.21,0
672.98,payment,1470,0,3,43.74,23.56,0,340.34,0
827.27,payment,448,0,1,90.38,13.98,0,386.73,1
253.63,payment,629,0,9,34.44,29.94,0,201.3,0
730.34,transfer,783,1,19,27.09,15.76,1,126.66,0
184.42,purchase,857,1,8,54.18,27.41,0,113.58,0
180.83,purchase,1710,3,19,78.81,56.82,1,83.77,0
2182.67,payment,644,0,4,64.03,64.02,0,499.35,1
266.06,withdrawal,1440,0,19,35.75,8.67,0,340.98,0
1120.1,payment,1812,0,1,67.02,41.48,0,307.73,0
189.82,deposit,883,0,8,48.48,18.73,0,189.09,0
1850.87,payment,564,0,3,28.2,11.37,1,188.57,0
588.03,withdrawal,1608,0,14,21.0,66.07,0,392.43,0
339.62,payment,1383,0,4,47.36,23.1,0,106.51,0
910.35,withdrawal,535,1,0,26.81,28.57,0,205.39,0
1376.74,transfer,1945,0,7,40.99,43.42,0,417.84,0
1182.58,purchase,674,0,0,59.28,24.05,0,205.22,1
517.87,payment,877,0,9,35.86,11.38,0,333.14,0
1246.82,purchase,1276,0,6,42.18,42.91,0,240.28,0
665.72,transfer,1834,1,22,52.86,42.18,1,54.19,0
569.08,purchase,1094,0,12,26.65,14.82,0,235.6,0
445.02,purchase,832,1,10,47.03,50.85,0,257.32,0
255.33,deposit,774,1,14,18.16,37.91,0,227.21,0
215.53,payment,832,0,3,54.49,35.33,0,138.0,0
2492.24,payment,2449,0,3,45.23,18.36,1,228.39,0
247.3,payment,1166,1,3,70.77,59.85,0,86.72,0
315.43,payment,1024,0,20,30.45,61.56,0,204.21,0
579.77,withdrawal,1389,1,17,19.29,30.17,0,345.18,0
1512.08,deposit,861,0,23,11.63,51.28,0,486.82,0
1017.56,deposit,1789,3,19,34.27,60.58,0,450.21,0
588.18,transfer,1212,1,2,62.39,66.73,0,148.47,0
627.39,withdrawal,822,0,3,64.31,33.17,1,116.18,0
436.21,purchase,741,0,19,11.54,65.21,0,268.89,0
147.53,deposit,377,0,13,39.43,20.1,0,249.67,0
341.57,payment,1469,2,14,64.3,54.44,0,322.05,0
943.11,transfer,446,0,5,40.38,42.22,0,181.57,0
252.42,purchase,1741,0,12,39.1,26.32,0,253.2,0
549.18,payment,620,1,21,40.87,25.01,0,246.96,0
415.27,transfer,660,1,11,32.7,19.18,0,207.55,0
81.41,deposit,2160,2,16,3.99,31.27,0,102.55,0
753.85,deposit,1417,2,17,63.29,28.4,0,342.89,0
390.57,purchase,1012,0,22,26.5,32.6,0,269.74,0
1258.42,purchase,2063,1,5,28.31,20.26,1,353.72,0
377.08,payment,922,1,21,30.29,20.75,0,392.28,0
336.56,payment,760,1,14,22.61,42.24,0,237.03,0
1093.74,transfer,1057,0,19,40.14,27.09,0,343.88,0
909.7,withdrawal,1516,0,6,33.84,16.87,0,492.04,0
2098.74,transfer,500,1,2,65.02,15.96,0,564.15,1
1344.5,withdrawal,652,0,2,61.04,70.44,0,284.82,0
765.58,transfer,571,1,9,30.11,37.63,0,295.04,0
596.12,purchase,523,1,13,22.87,17.79,1,282.63,0
871.58,transfer,876,1,6,29.41,29.05,0,316.89,0
915.53,transfer,517,0,6,31.14,26.79,0,384.56,0
250.98,payment,350,0,19,5.84,20.27,0,279.91,0
1935.16,payment,649,0,17,5.36,57.48,1,549.13,0
621.13,purchase,628,1,15,30.17,73.08,0,513.41,0
672.18,transfer,1180,0,15,15.65,36.81,0,257.01,0
334.88,payment,1454,2,20,16.33,64.12,0,256.29,0
741.22,purchase,700,2,5,76.65,86.01,0,200.19,0
2445.72,withdrawal,216,2,22,10.04,35.07,0,324.7,0
286.27,payment,656,1,20,29.71,27.45,0,216.2,0
103.23,payment,2103,1,8,9.92,53.75,0,195.76,0
2039.63,payment,1429,0,8,57.74,35.04,1,321.47,0
492.12,withdrawal,1118,0,4,60.27,22.72,0,144.41,0
474.84,payment,810,1,17,28.04,41.7,0,387.6,0
395.66,payment,1415,0,7,49.8,16.62,0,327.37,0
564.43,payment,546,0,6,14.39,35.11,0,501.13,0
990.26,withdrawal,1445,0,16,14.18,45.05,0,287.19,0
1598.15,payment,1206,0,4,63.52,24.89,1,350.43,0
164.49,purchase,1314,0,2,34.14,19.05,0,67.22,0
441.73,payment,1017,0,20,0.66,39.52,0,371.25,0
529.64,withdrawal,465,0,0,20.42,40.71,0,433.95,0
748.29,transfer,554,2,22,10.6,40.26,0,272.64,0
860.91,transfer,1237,0,16,64.98,39.39,0,199.46,0
1130.55,payment,1178,0,8,51.8,21.65,1,290.25,0
668.34,purchase,736,0,13,27.75,20.94,0,387.39,0
408.64,purchase,729,1,7,23.06,45.65,0,410.71,0
60.86,payment,1626,0,9,15.96,46.22,0,103.07,0
1443.21,payment,955,2,16,22.5,16.82,0,778.11,0
150.52,purchase,632,1,21,24.04,29.09,0,196.27,0
827.1,transfer,1747,1,5,28.36,48.74,0,353.18,0
492.1,payment,1672,0,12,83.3,21.47,0,456.21,0
480.77,payment,954,0,20,27.1,37.08,1,246.04,0
898.77,withdrawal,1048,0,0,30.84,21.27,0,418.08,0
312.55,purchase,1432,0,0,43.17,47.38,0,102.58,0
474.44,withdrawal,1278,1,14,16.46,47.61,0,82.37,0
1014.3,deposit,457,1,3,60.56,12.02,0,425.09,0
1242.83,transfer,1774,1,23,26.03,36.42,0,401.5,0
1151.49,payment,410,0,2,28.14,35.65,0,306.94,0
1452.23,transfer,1172,0,17,34.73,34.08,0,387.96,0
342.8,transfer,509,0,7,7.11,48.09,0,519.84,0
914.55,payment,1277,0,22,47.42,19.87,0,462.78,0
461.45,payment,667,1,20,61.67,34.45,0,252.83,0
819.54,transfer,690,0,19,45.72,34.99,0,288.98,0
230.0,purchase,1394,0,15,22.14,25.86,0,232.86,0
282.08,payment,509,1,5,40.06,39.87,0,218.88,0
1930.59,transfer,736,0,2,31.49,47.86,0,370.26,0
232.29,withdrawal,519,0,6,12.94,9.6,0,231.67,0
453.24,withdrawal,1012,1,1,87.88,37.73,0,369.87,0
379.54,purchase,514,0,18,69.14,15.15,0,245.91,0
741.55,purchase,1126,0,6,51.02,37.15,1,262.9,0
223.22,purchase,1662,0,10,39.7,48.28,0,170.88,0
1384.62,payment,305,0,14,55.52,24.28,0,365.48,0
286.92,transfer,669,2,16,11.49,56.84,0,99.3,0
769.92,withdrawal,544,1,14,30.08,13.77,0,432.39,0
1941.61,payment,461,1,17,24.98,21.53,0,646.28,0
2501.44,payment,1112,1,2,65.47,24.95,0,267.14,0
562.94,payment,1051,0,6,29.68,14.65,0,261.64,0
196.13,transfer,1769,0,18,17.74,37.23,0,117.25,0
573.47,transfer,1325,0,17,24.03,44.36,0,202.2,1
1110.78,payment,979,0,15,65.25,79.36,0,389.87,0
690.62,purchase,1088,1,22,16.27,33.88,1,415.11,0
357.69,deposit,735,1,23,12.53,52.69,0,282.93,0
1685.39,payment,1105,0,2,24.05,22.47,0,379.4,0
180.4,deposit,413,0,13,58.1,16.15,0,172.57,0
585.17,payment,891,0,21,8.17,51.47,0,313.25,0
774.81,deposit,1189,1,7,36.59,37.79,0,482.77,0
642.82,deposit,868,0,1,57.02,65.41,0,341.14,0
1242.93,payment,682,0,2,40.09,70.3,0,516.15,0
687.51,purchase,1000,1,17,19.94,15.67,0,523.41,0
1092.39,deposit,631,1,22,14.93,51.49,0,322.52,0
85.98,purchase,843,0,16,33.06,53.0,0,36.99,0
610.36,deposit,1385,0,0,48.94,19.41,1,411.15,0
83.65,withdrawal,1426,1,9,38.4,54.4,0,137.31,0
56.11,payment,1062,0,8,29.2,14.56,0,57.87,0
224.78,purchase,570,0,21,1.27,53.76,0,91.63,0
542.22,withdrawal,804,0,12,35.64,21.12,0,424.4,0
4865.35,withdrawal,1009,1,5,73.18,19.29,0,323.72,1
271.13,transfer,666,1,13,5.69,22.97,0,286.49,0
371.28,withdrawal,1992,0,17,40.68,45.18,0,337.96,0
85.34,payment,673,1,13,14.7,25.29,0,94.86,0
366.34,purchase,976,1,10,43.44,29.64,1,232.38,0
172.69,payment,361,0,17,10.03,65.42,0,186.97,0
398.46,purchase,1468,0,7,9.6,36.24,0,276.23,0
832.39,purchase,1842,2,3,73.74,9.47,0,280.82,0
517.69,transfer,563,1,20,68.79,60.71,0,331.37,1
746.57,transfer,420,1,17,27.31,12.87,0,354.42,0
106.15,payment,1056,2,17,58.61,33.18,0,97.52,0
362.34,deposit,2103,2,21,32.35,23.95,0,233.89,0
825.76,purchase,455,1,17,60.38,62.21,1,259.05,1
946.21,transfer,818,2,0,51.87,48.89,0,135.3,1
212.56,payment,1099,0,20,25.1,74.99,0,128.03,0
179.5,payment,997,0,0,23.76,29.85,0,91.93,0
307.25,transfer,1180,2,16,24.39,55.84,0,118.7,0
4152.12,deposit,1720,1,23,17.64,57.0,0,378.36,1
128.43,purchase,1481,0,9,66.38,48.52,0,106.59,0
482.17,payment,809,1,7,49.86,17.71,1,116.42,0
1268.18,purchase,451,0,22,42.41,16.57,0,270.9,0
2453.17,transfer,1533,0,10,42.94,12.2,0,312.66,0
1651.94,purchase,817,0,22,69.69,34.56,0,255.25,0
88.39,payment,991,1,7,15.7,76.55,0,149.12,0
507.98,withdrawal,1411,0,4,37.1,50.7,0,129.51,0
92.52,deposit,1511,0,13,23.28,58.33,0,267.38,0
358.97,payment,1373,0,8,9.48,12.92,0,242.09,0
454.58,withdrawal,1941,0,17,18.44,56.42,0,213.29,0
334.53,deposit,171,1,7,26.08,38.98,0,370.71,0
385.32,payment,940,1,18,23.34,35.64,0,234.6,0
242.68,payment,694,0,8,0.98,41.64,0,123.6,0
302.85,withdrawal,596,1,8,41.71,42.85,0,213.91,0
375.1,transfer,713,0,17,23.66,15.13,0,328.97,0
247.69,payment,727,0,6,39.4,36.96,0,227.86,0
931.71,transfer,1064,2,6,35.15,26.16,0,326.28,1
408.15,purchase,1236,1,13,2.39,18.41,0,356.06,0
653.45,payment,554,2,7,49.95,75.45,0,234.98,0
283.98,transfer,1413,0,9,35.43,40.25,0,254.69,0
1193.68,purchase,1476,1,8,23.06,49.57,1,220.97,0
1689.33,transfer,234,1,14,33.56,73.46,0,329.61,1
1956.94,purchase,1250,1,8,26.89,16.91,1,217.68,0
952.39,transfer,764,1,14,41.58,68.68,0,314.8,0
693.81,deposit,1691,2,5,25.66,39.98,0,282.98,0
275.59,withdrawal,932,1,21,41.95,52.17,0,91.29,0
1068.9,payment,652,0,22,45.23,25.9,0,322.78,0
1079.37,purchase,551,1,0,65.17,81.36,1,270.87,0
1232.89,transfer,1023,0,2,54.39,40.45,0,440.27,1
260.45,payment,770,1,2,20.4,62.35,0,138.6,0
1862.12,payment,477,0,4,81.28,87.15,0,285.13,1
409.9,withdrawal,407,0,18,2.97,48.12,0,202.95,0
144.25,payment,1095,0,5,37.09,11.17,0,97.15,0
154.27,payment,441,2,14,80.52,65.96,0,81.23,1
1045.78,payment,255,0,6,45.23,62.56,0,480.78,0
4485.5,transfer,1486,1,1,48.3,43.18,1,285.56,1
517.94,transfer,587,1,2,24.99,13.11,0,231.22,0
502.67,transfer,1176,2,22,59.46,25.31,0,112.15,0
252.45,payment,1013,0,13,26.63,18.04,0,467.68,0
390.75,payment,686,0,15,54.08,56.1,0,177.56,0
339.86,withdrawal,1779,0,4,55.6,41.68,0,291.8,0
987.77,transfer,1263,0,11,40.46,15.79,1,265.92,0
780.98,withdrawal,905,0,15,72.83,9.69,0,567.36,0
971.58,payment,614,1,18,46.7,33.76,0,251.79,1
1430.68,payment,1217,0,15,35.06,24.67,1,196.79,0
475.43,payment,1304,1,14,33.48,67.08,1,287.56,0
655.68,transfer,970,0,14,57.62,49.95,0,302.0,0
693.17,transfer,916,2,8,43.22,90.79,0,745.87,1
603.58,purchase,1261,1,16,34.87,72.56,1,249.79,0
444.34,transfer,895,0,7,39.84,27.27,1,136.19,0
536.17,transfer,646,0,17,22.67,26.91,0,213.33,0
854.2,withdrawal,458,0,10,45.43,74.37,0,287.26,1
246.35,payment,898,0,13,30.15,34.36,0,311.6,0
458.56,transfer,451,0,11,36.62,13.05,0,106.57,0
1380.23,transfer,1312,1,13,40.53,45.11,0,201.13,0
996.84,transfer,898,1,17,40.29,74.28,0,551.99,0
148.53,payment,1404,1,6,38.88,19.42,0,160.39,0
959.71,purchase,1049,0,11,56.66,46.19,0,374.68,0
223.46,deposit,1179,1,9,35.78,44.97,0,216.82,0
765.67,payment,675,1,0,36.96,9.06,0,256.72,0
230.83,withdrawal,870,1,20,30.12,46.89,0,113.88,0
358.5,purchase,1042,1,16,23.25,14.43,0,226.95,0
4398.89,payment,987,1,1,40.24,41.69,0,285.63,0
